point,group_size,replica_percent,achieved_replica_fraction,mean_training_epoch_seconds,order_excluded_mean_seconds,speedup_vs_fresh_g2_r20,order_excluded_speedup_vs_g2_r20,layout_address_span_bytes,groups,padding_rows,group_sample_fraction
g1_r00,1,0,0.0,120.08912489563227,119.94939061067998,0.8688219687191325,0.8692561493081244,415097704448,99953964,699677748,0.011759882514774332
g1_r10,1,10,0.09999999459751271,119.79186070337892,119.72506811097264,0.8709779554383201,0.8708848283757198,460587859968,111059959,777419713,0.013290814307623225
g1_r20,1,20,0.19999999819917091,120.60620528459549,120.5316792819649,0.8650970293558138,0.8650567719228414,506078019584,122165955,855161685,0.01487749686299894
g1_r40,1,40,0.39999999639834183,122.1122811306268,121.57028941996396,0.854427326617295,0.8576663417646957,597058334720,144377946,1010645622,0.017979245428687052
g1_r80,1,80,0.7999999927966837,122.33275299146771,122.25701354630291,0.8528874513341337,0.8528487844552689,779018964992,188801928,1321613496,0.02337228536915258
g2_r00,2,0,0.0,105.26791522093117,105.191720681265,0.9911478696486536,0.9912067672134395,165694607360,35427054,212562324,0.014713775102344742
g2_r10,2,10,0.09999998559336724,104.18119047768414,104.11190141923726,1.001486635305152,1.0014872840928628,188439683072,40980051,245880306,0.016207113791185078
g2_r20,2,20,0.19999998919502543,104.33606991358101,104.26674539409578,1.0,1.0,211184762880,46533049,279198294,0.01786597040307569
g2_r40,2,40,0.39999999639834183,104.55869676917791,104.49298218265176,0.9978707954242355,0.9978349092558146,256674922496,57639045,345834270,0.021271291129320486
g2_r80,2,80,0.7999999927966837,104.49364659190178,104.42637791857123,0.9984919975188905,0.9984713390653085,347655237632,79851036,479106216,0.027489015924038865
g4_r00,4,0,0.0,92.58162750862539,91.61762029491365,1.126963013302618,1.138064327129051,88265035776,15333172,61332692,0.017743584186637972
g4_r10,4,10,0.0999999675850763,91.18187882751226,91.111940279603,1.144263216060204,1.1443806933989498,99637571584,18109670,72438684,0.018987647566723883
g4_r20,4,20,0.1999999711867345,92.58345858938992,91.3943095523864,1.1269407246527074,1.140845047188972,111010111488,20886169,83544680,0.020491773905659746
g4_r40,4,40,0.39999997839005086,92.09227366745472,91.99837525188923,1.1329513949274252,1.1333542044478075,133755191296,26439167,105756672,0.02373739348546937
g4_r80,4,80,0.7999999927966837,90.20814924687147,90.14124606736004,1.1566146826496333,1.156704061048592,179245350912,37545163,150180656,0.02997922634321313
